,date,1. open,2. high,3. low,4. close,5. volume
ON,2020-05-29,15.41,17.475,13.485,16.49,165437166.0
ON,2020-04-30,11.94,17.27,10.61,16.045,181307935.0
ON,2020-03-31,18.79,19.13,8.17,12.44,259457914.0
ON,2020-02-28,21.45,21.9,16.9107,18.66,212506935.0
ON,2020-01-31,24.75,25.92,22.95,23.15,131891989.0
ON,2019-12-31,21.64,24.7,20.55,24.38,75897304.0
ON,2019-11-29,20.56,22.345,20.515,21.47,84413352.0
ON,2019-10-31,19.27,21.4139,17.04,20.4,151133313.0
ON,2019-09-30,17.5,20.4361,17.18,19.21,104615257.0
ON,2019-08-30,21.43,21.82,16.65,17.8,146354279.0
ON,2019-07-31,21.39,22.355,19.36,21.51,98258961.0
ON,2019-06-28,18.3,20.7,17.96,20.21,129614549.0
ON,2019-05-31,23.3,23.54,17.31,17.76,170610235.0
ON,2019-04-30,21.19,23.5,20.83,23.06,136783255.0
ON,2019-03-29,21.78,23.31,19.96,20.57,144870986.0
ON,2019-02-28,20.05,23.35,19.98,21.48,137513959.0
ON,2019-01-31,16.14,20.28,15.57,20.04,150302172.0
ON,2018-12-31,19.93,20.06,15.06,16.51,108303288.0
ON,2018-11-30,17.06,19.22,16.755,19.18,150127227.0
ON,2018-10-31,18.44,18.99,14.55,17.0,188271049.0
ON,2018-09-28,21.2,21.43,18.06,18.43,112187847.0
ON,2018-08-31,22.0,22.565,19.97,21.34,119727899.0
ON,2018-07-31,22.02,24.31,21.51,22.05,116522402.0
ON,2018-06-29,25.48,26.38,21.765,22.235,142073810.0
ON,2018-05-31,22.0,26.11,21.445,25.13,161925978.0
ON,2018-04-30,24.33,25.9,21.97,22.08,129796247.0
ON,2018-03-29,24.03,27.1,23.365,24.46,153618800.0
ON,2018-02-28,24.72,24.98,20.21,23.92,163803086.0
ON,2018-01-31,21.03,25.6,21.0,24.74,155515451.0
ON,2017-12-29,19.97,21.32,18.66,20.94,108048504.0
ON,2017-11-30,21.69,22.15,19.8,20.08,138593536.0
ON,2017-10-31,18.54,21.37,18.52,21.32,124103777.0
ON,2017-09-29,17.12,18.49,16.28,18.47,107457991.0
ON,2017-08-31,15.0,17.2,14.6,17.08,150906458.0
ON,2017-07-31,14.16,15.85,13.65,14.95,97340047.0
ON,2017-06-30,15.6,16.93,13.89,14.04,143841704.0
ON,2017-05-31,14.22,16.08,13.77,15.48,119937241.0
ON,2017-04-28,15.55,15.62,14.04,14.18,139571771.0
ON,2017-03-31,15.35,15.7,14.55,15.49,156989317.0
ON,2017-02-28,13.59,16.06,13.33,15.13,127765905.0
ON,2017-01-31,12.75,14.0,12.37,13.32,124213453.0
ON,2016-12-30,11.8,13.32,10.845,12.76,180324892.0
ON,2016-11-30,11.73,12.5,10.74,11.78,128870741.0
ON,2016-10-31,12.48,12.69,11.245,11.67,83339734.0
ON,2016-09-30,10.79,12.55,10.08,12.32,122012143.0
ON,2016-08-31,10.04,11.44,9.65,10.8,107895589.0
ON,2016-07-29,8.74,10.34,8.11,10.03,71550533.0
ON,2016-06-30,9.79,10.15,8.21,8.82,125553845.0
ON,2016-05-31,9.49,9.9,8.85,9.77,77537210.0
ON,2016-04-29,9.5,10.07,9.26,9.47,67289109.0
ON,2016-03-31,8.35,9.92,8.345,9.59,78882516.0
ON,2016-02-29,8.5,8.71,6.97,8.39,116184176.0
ON,2016-01-29,9.65,9.8399,7.83,8.56,104488874.0
ON,2015-12-31,11.01,11.42,9.78,9.8,114519775.0
ON,2015-11-30,10.97,11.62,9.53,10.96,132520652.0
ON,2015-10-30,9.4,11.59,9.06,11.0,131948033.0
ON,2015-09-30,9.29,10.63,8.9,9.4,90163988.0
ON,2015-08-31,10.55,10.89,8.4,9.555,118459675.0
ON,2015-07-31,11.76,11.86,10.03,10.62,142974320.0
ON,2015-06-30,13.25,13.5,11.65,11.69,156722856.0
ON,2015-05-29,11.6,13.33,11.57,13.26,80421135.0
ON,2015-04-30,11.51,12.51,11.08,11.52,104912680.0
ON,2015-03-31,12.84,13.31,11.43,12.11,154988611.0
ON,2015-02-27,10.02,13.07,9.73,12.75,173183855.0
ON,2015-01-30,10.18,10.6,9.65,10.01,115692499.0
ON,2014-12-31,9.28,10.435,9.25,10.13,136930157.0
ON,2014-11-28,8.43,9.1,7.99,9.03,87001184.0
ON,2014-10-31,8.91,9.22,6.76,8.29,207832305.0
ON,2014-09-30,9.81,9.94,8.88,8.94,148323902.0
ON,2014-08-29,8.6,9.82,8.32,9.76,115958369.0
ON,2014-07-31,9.19,9.7115,8.52,8.56,140092605.0
ON,2014-06-30,8.76,9.32,8.52,9.14,129025684.0
ON,2014-05-30,9.45,9.6,8.22,8.69,177423652.0
ON,2014-04-30,9.43,10.07,9.13,9.41,167063352.0
ON,2014-03-31,9.23,9.75,9.05,9.4,123781633.0
ON,2014-02-28,8.37,9.67,8.02,9.34,146500598.0
ON,2014-01-31,8.0,8.97,7.82,8.36,155309216.0
ON,2013-12-31,7.08,8.35,7.02,8.24,101860652.0
ON,2013-11-29,7.26,7.835,6.82,7.09,107106883.0
ON,2013-10-31,7.3,7.44,6.8,7.055,174475621.0
ON,2013-09-30,7.31,7.69,7.16,7.309,92951917.0
ON,2013-08-30,8.3,8.502,7.16,7.24,108504147.0
ON,2013-07-31,8.16,8.38,7.83,8.245,95362516.0
ON,2013-06-28,8.56,8.73,7.58,8.08,140052477.0
ON,2013-05-31,7.83,8.67,7.69,8.56,141697155.0
ON,2013-04-30,8.25,8.62,7.18,7.86,179959722.0
ON,2013-03-28,7.95,8.455,7.735,8.275,147913110.0
ON,2013-02-28,8.04,8.71,7.77,8.005,150011725.0
ON,2013-01-31,7.25,8.065,7.195,7.855,152663819.0
ON,2012-12-31,6.73,7.11,6.57,7.05,107406630.0
ON,2012-11-30,6.16,6.81,5.695,6.615,159686734.0
ON,2012-10-31,6.19,6.4,5.84,6.15,139757657.0
ON,2012-09-28,6.19,6.95,6.0,6.175,150581007.0
ON,2012-08-31,6.97,7.05,6.14,6.23,236195324.0
ON,2012-07-31,7.17,7.23,6.2,6.94,135131054.0
ON,2012-06-29,6.54,8.01,6.25,7.1,167178542.0
ON,2012-05-31,8.25,8.97,6.5,6.74,219144343.0
ON,2012-04-30,8.94,9.03,7.82,8.26,124183740.0
ON,2012-03-30,9.12,9.31,8.29,9.01,118139789.0
ON,2012-02-29,8.82,9.85,8.71,9.07,152495066.0
ON,2012-01-31,7.83,9.17,7.62,8.7,175983310.0
ON,2011-12-30,7.51,8.28,6.92,7.72,136893565.0
ON,2011-11-30,7.15,8.41,6.9,7.53,177803872.0
ON,2011-10-31,7.09,8.29,6.5327,7.57,237123320.0
ON,2011-09-30,7.27,8.42,6.59,7.18,142332675.0
ON,2011-08-31,8.88,8.91,6.62,7.27,183796799.0
ON,2011-07-29,10.55,10.77,8.55,8.69,169969445.0
ON,2011-06-30,11.17,11.25,9.52,10.47,128169407.0
ON,2011-05-31,10.55,11.85,10.16,11.22,146328546.0
ON,2011-04-29,9.95,10.55,9.21,10.5,114271121.0
ON,2011-03-31,11.22,11.59,9.4,9.86,163148185.0
ON,2011-02-28,11.1,11.87,10.33,11.15,157538783.0
ON,2011-01-31,10.05,11.95,9.82,11.05,216357171.0
ON,2010-12-31,8.25,9.97,8.24,9.88,135790734.0
ON,2010-11-30,7.73,8.33,7.52,8.155,120810670.0
ON,2010-10-29,7.22,7.715,6.87,7.67,136834353.0
ON,2010-09-30,6.28,7.34,6.07,7.21,148252266.0
ON,2010-08-31,6.75,6.99,6.08,6.18,157767330.0
ON,2010-07-30,6.4,7.45,6.17,6.75,156416132.0
ON,2010-06-30,7.28,7.45,6.36,6.38,204754009.0
ON,2010-05-28,8.0,8.265,6.8,7.31,266404954.0
ON,2010-04-30,8.11,8.92,7.88,7.96,220723296.0
ON,2010-03-31,8.0,8.46,7.7,8.0,253168452.0
ON,2010-02-26,7.23,8.35,7.2,7.96,202166230.0
ON,2010-01-29,8.86,9.1118,7.06,7.21,182712778.0
ON,2009-12-31,7.83,9.01,7.83,8.82,159595106.0
ON,2009-11-30,6.69,8.32,6.32,7.76,210591517.0
ON,2009-10-30,8.44,8.45,6.54,6.69,281256872.0
ON,2009-09-30,8.18,9.12,7.86,8.25,188421195.0
ON,2009-08-31,7.4,8.38,7.2899,8.07,231867844.0
ON,2009-07-31,6.95,7.84,6.3,7.3,196837663.0
ON,2009-06-30,7.025,7.15,5.97,6.86,208797226.0
ON,2009-05-29,5.38,6.8529,5.28,6.82,238195079.0
ON,2009-04-30,4.11,6.2,4.02,5.42,191393715.0
ON,2009-03-31,3.64,4.72,3.2,3.9,232817838.0
ON,2009-02-27,4.14,5.1,3.17,3.66,192194929.0
ON,2009-01-30,3.43,4.83,3.38,4.17,190607321.0
ON,2008-12-31,2.88,4.01,2.6,3.4,163435050.0
ON,2008-11-28,5.34,5.87,2.35,2.92,193595897.0
ON,2008-10-31,6.74,6.79,3.85,5.11,286471674.0
ON,2008-09-30,9.62,9.68,5.99,6.76,278038238.0
ON,2008-08-29,9.4,10.72,8.98,9.47,241172247.0
ON,2008-07-31,9.09,9.9,8.13,9.39,232581447.0
ON,2008-06-30,9.96,10.09,8.61,9.17,242001142.0
ON,2008-05-30,7.49,10.85,7.39,9.89,268442652.0
ON,2008-04-30,5.85,7.66,5.8,7.47,209512922.0
ON,2008-03-31,6.02,6.14,4.86,5.68,215607645.0
ON,2008-02-29,6.64,7.37,5.66,6.0,161379153.0
ON,2008-01-31,8.99,9.06,6.33,6.48,183309770.0
ON,2007-12-31,9.25,9.35,7.78,8.88,156408868.0
ON,2007-11-30,10.2,10.2,8.2,9.19,173008155.0
ON,2007-10-31,12.61,13.07,9.73,10.2,198362434.0
ON,2007-09-28,11.95,13.15,11.2,12.56,113921129.0
ON,2007-08-31,11.74,12.24,10.24,11.72,132307005.0
ON,2007-07-31,10.77,12.52,10.6,11.82,124322255.0
ON,2007-06-29,10.81,11.22,10.32,10.72,127540286.0
ON,2007-05-31,10.72,11.55,10.4,10.74,180873027.0
ON,2007-04-30,8.78,11.75,8.74,10.71,192141828.0
ON,2007-03-30,9.28,10.41,8.69,8.92,205170170.0
ON,2007-02-28,9.05,10.88,9.0,9.8199,203761342.0
ON,2007-01-31,7.57,8.74,7.33,8.36,140179318.0
ON,2006-12-29,6.44,7.94,6.25,7.57,246087386.0
ON,2006-11-30,6.23,6.52,5.79,6.44,80670572.0
ON,2006-10-31,5.88,6.48,5.75,6.22,111672024.0
ON,2006-09-29,6.06,6.65,5.8,5.88,110093795.0
ON,2006-08-31,6.27,6.53,5.45,5.99,128562675.0
ON,2006-07-31,5.82,6.45,5.12,6.3,69038853.0
ON,2006-06-30,6.04,6.5,5.37,5.88,65500816.0
ON,2006-05-31,7.3,7.37,5.5,6.04,84934392.0
ON,2006-04-28,7.27,7.54,6.52,7.17,76819252.0
ON,2006-03-31,6.59,7.35,6.28,7.26,70824030.0
ON,2006-02-28,7.44,7.57,6.46,6.59,63868284.0
ON,2006-01-31,5.54,7.68,5.54,7.51,76948979.0
ON,2005-12-30,5.95,6.35,5.27,5.53,53772700.0
ON,2005-11-30,4.63,5.86,4.57,5.8,38743700.0
ON,2005-10-31,5.18,5.32,3.91,4.64,57706400.0
ON,2005-09-30,5.73,5.9,4.57,5.15,39825800.0
ON,2005-08-31,5.75,5.93,5.2,5.75,39898100.0
ON,2005-07-29,4.58,5.94,4.34,5.73,54621500.0
ON,2005-06-30,4.46,5.32,4.34,4.6,39295300.0
ON,2005-05-31,3.45,4.51,3.2,4.471,39455400.0
ON,2005-04-29,3.98,4.04,2.88,3.44,34703200.0
ON,2005-03-31,4.75,4.84,3.77,3.95,32382700.0
ON,2005-02-28,3.72,5.04,3.5,4.54,41678500.0
ON,2005-01-31,4.6,4.64,3.26,3.66,30735800.0
ON,2004-12-31,3.66,4.66,3.63,4.54,56228600.0
ON,2004-11-30,3.62,4.33,3.4,3.65,36379100.0
ON,2004-10-29,3.18,3.76,3.01,3.6,37271400.0
ON,2004-09-30,2.98,3.4,2.49,3.13,57201200.0
ON,2004-08-31,3.81,4.0,2.91,2.98,58446396.0
ON,2004-07-30,4.95,4.95,3.18,4.0,107231100.0
ON,2004-06-30,5.76,5.8,4.76,5.02,56514100.0
ON,2004-05-28,4.97,5.87,4.75,5.79,78870800.0
ON,2004-04-30,7.6,7.91,4.51,4.84,118164900.0
ON,2004-03-31,8.58,9.05,6.84,7.55,72388000.0
ON,2004-02-27,7.0,8.7,6.8,8.47,85293900.0
ON,2004-01-30,6.57,8.56,6.0,7.0,49674500.0
ON,2003-12-31,6.66,7.49,5.53,6.48,45277800.0
ON,2003-11-28,4.31,6.73,4.222,6.575,46530400.0
ON,2003-10-31,4.2,5.1,4.0,4.3,42803100.0
ON,2003-09-30,4.98,6.39,3.73,4.0,51673700.0
ON,2003-08-29,2.81,4.85,2.72,4.79,7602200.0
ON,2003-07-31,2.7,3.6,2.4,2.92,10820600.0
ON,2003-06-30,2.71,2.95,2.09,2.7,8771400.0
ON,2003-05-30,1.41,2.85,1.31,2.71,12566900.0
ON,2003-04-30,1.31,1.39,0.95,1.36,18277000.0
ON,2003-03-31,1.38,1.49,1.19,1.27,4037100.0
ON,2003-02-28,1.29,1.49,1.1,1.41,2105000.0
ON,2003-01-31,1.46,1.97,1.2,1.28,2568700.0
ON,2002-12-31,2.2,2.505,1.31,1.37,2636600.0
ON,2002-11-29,1.299,2.67,1.29,2.19,3435600.0
ON,2002-10-31,1.3,1.51,0.89,1.29,2122100.0
ON,2002-09-30,1.931,1.99,1.13,1.25,2194100.0
ON,2002-08-30,1.9,2.3,1.76,1.93,1632500.0
ON,2002-07-31,2.049,2.9,1.67,1.67,4972900.0
ON,2002-06-28,2.965,3.08,1.58,2.06,7038200.0
ON,2002-05-31,3.69,4.3,2.81,2.86,11301300.0
ON,2002-04-30,4.2,6.27,3.27,3.64,10369100.0
ON,2002-03-28,2.85,4.2,2.79,4.2,4103400.0
ON,2002-02-28,3.09,3.09,2.0,2.85,4762600.0
ON,2002-01-31,2.09,4.13,2.01,3.1,13077700.0
ON,2001-12-31,1.64,2.65,1.54,2.07,16550900.0
ON,2001-11-30,1.48,1.96,1.3,1.63,8642900.0
ON,2001-10-31,1.76,2.13,1.12,1.44,8549000.0
ON,2001-09-28,3.39,3.54,1.65,1.85,3593300.0
ON,2001-08-31,3.5,4.02,3.25,3.31,4084200.0
ON,2001-07-31,4.59,5.0,3.04,3.39,3928800.0
ON,2001-06-29,6.8,6.99,4.25,4.55,4387900.0
ON,2001-05-31,5.91,8.0,5.6,7.01,4786100.0
ON,2001-04-30,5.313,5.99,3.938,5.9,2319300.0
ON,2001-03-30,5.813,6.75,4.594,5.344,4601200.0
ON,2001-02-28,7.438,7.688,5.5,6.0,6575400.0
ON,2001-01-31,5.125,8.75,4.75,7.375,8363600.0
ON,2000-12-29,6.969,9.75,4.063,5.25,16629900.0
ON,2000-11-30,9.938,10.75,6.5,6.625,9708900.0
ON,2000-10-31,11.0,12.94,9.188,10.06,7716000.0
ON,2000-09-29,17.25,17.63,10.13,10.88,9467400.0
ON,2000-08-31,21.75,22.0,16.25,17.0,14882400.0
ON,2000-07-31,22.88,24.69,19.38,22.13,15203300.0
ON,2000-06-30,19.59,26.81,19.56,21.88,13987700.0
AMKR,2024-11-25,25.69,28.43,25.01,26.89,19348625.0
AMKR,2024-10-31,30.52,31.72,24.1,25.45,34830229.0
AMKR,2024-09-30,32.23,32.468,28.17,30.6,33699877.0
AMKR,2024-08-30,31.79,33.85,26.5966,32.9,32804410.0
AMKR,2024-07-31,40.4,44.86,29.4,32.66,39196645.0
AMKR,2024-06-28,32.95,40.9278,31.34,40.02,44233600.0
AMKR,2024-05-31,32.03,34.1,30.04,32.59,18467979.0
AMKR,2024-04-30,32.16,35.95,28.145,32.35,22266189.0
AMKR,2024-03-28,31.34,37.0,30.53,32.24,19790804.0
AMKR,2024-02-29,31.81,32.5799,28.84,31.02,19671953.0
AMKR,2024-01-31,32.75,34.37,29.65,31.66,17010535.0
AMKR,2023-12-29,28.08,34.44,27.86,33.27,21582747.0
AMKR,2023-11-30,20.82,28.71,20.82,28.17,19898017.0
AMKR,2023-10-31,22.55,24.0195,17.5814,20.86,23807395.0
AMKR,2023-09-29,28.15,28.56,21.73,22.6,34287136.0
AMKR,2023-08-31,28.52,29.93,24.54,27.96,16844395.0
AMKR,2023-07-31,29.86,30.09,27.17,29.09,15645021.0
AMKR,2023-06-30,24.93,30.245,24.565,29.75,28025760.0
AMKR,2023-05-31,22.42,26.365,20.4226,24.78,19121155.0
AMKR,2023-04-28,25.82,25.92,21.43,22.37,11721868.0
AMKR,2023-03-31,25.73,27.1,23.85,26.02,23851547.0
AMKR,2023-02-28,29.24,31.38,24.64,25.76,24558543.0
AMKR,2023-01-31,24.6,31.36,24.55,29.26,19878250.0
AMKR,2022-12-30,28.28,28.36,23.41,23.98,15728939.0
AMKR,2022-11-30,21.49,29.1,19.6859,28.02,26803606.0
AMKR,2022-10-31,17.22,20.9281,16.57,20.79,15424275.0
AMKR,2022-09-30,19.62,19.92,16.13,17.05,16496076.0
AMKR,2022-08-31,20.0,23.165,19.81,20.13,17542337.0
AMKR,2022-07-29,16.61,20.26,14.89,20.17,14869969.0
AMKR,2022-06-30,20.58,21.0,16.26,16.95,19689992.0
AMKR,2022-05-31,18.88,20.6,18.05,20.44,21143285.0
AMKR,2022-04-29,21.92,22.16,18.39,18.81,18962348.0
AMKR,2022-03-31,22.68,24.19,19.76,21.72,18046026.0
AMKR,2022-02-28,22.19,25.035,20.53,22.67,23975972.0
AMKR,2022-01-31,25.0,26.64,19.78,22.02,19376685.0
AMKR,2021-12-31,22.36,24.99,21.07,24.79,18198751.0
AMKR,2021-11-30,21.94,25.7279,21.23,21.56,19475662.0
AMKR,2021-10-29,25.1,26.11,21.66,21.92,25443479.0
AMKR,2021-09-30,27.64,29.5,24.8,24.95,26682100.0
AMKR,2021-08-31,24.78,28.06,23.82,27.47,23906177.0
AMKR,2021-07-30,23.66,24.85,20.63,24.64,25914807.0
AMKR,2021-06-30,21.36,24.21,20.959,23.67,28662714.0
AMKR,2021-05-28,20.43,21.47,18.04,21.1,26065960.0
AMKR,2021-04-30,24.19,27.5,20.13,20.22,43026182.0
AMKR,2021-03-31,24.59,25.1,19.78,23.71,40247554.0
AMKR,2021-02-26,16.05,26.07,15.92,23.89,76087506.0
AMKR,2021-01-29,15.18,19.05,14.82,15.52,19795306.0
AMKR,2020-12-31,14.9,15.725,14.5601,15.08,21472801.0
AMKR,2020-11-30,12.0,14.82,11.7,14.74,21543384.0
AMKR,2020-10-30,11.33,13.67,10.83,11.85,30460336.0
AMKR,2020-09-30,12.23,12.82,10.71,11.2,22729649.0
AMKR,2020-08-31,13.75,13.99,12.13,12.195,21093887.0
AMKR,2020-07-31,12.28,15.8,11.77,13.595,32026810.0
AMKR,2020-06-30,10.58,13.09,10.28,12.31,30223422.0
AMKR,2020-05-29,9.64,11.06,9.04,10.58,23604516.0
AMKR,2020-04-30,7.42,10.8,7.14,9.88,33201657.0
AMKR,2020-03-31,10.55,10.96,5.4,7.79,39464720.0
AMKR,2020-02-28,11.21,14.82,9.26,10.44,40332197.0
AMKR,2020-01-31,13.17,13.5,11.2,11.25,18579294.0
AMKR,2019-12-31,12.1,14.08,11.47,13.0,20065306.0
AMKR,2019-11-29,12.55,13.5,12.05,12.09,23981884.0
AMKR,2019-10-31,9.18,15.25,9.01,12.43,31600157.0
AMKR,2019-09-30,8.71,9.5,8.53,9.1,16710561.0
AMKR,2019-08-30,9.21,9.54,8.36,8.75,16264673.0
AMKR,2019-07-31,7.73,9.79,7.28,9.23,18553419.0
AMKR,2019-06-28,6.49,7.52,6.44,7.46,17481671.0
AMKR,2019-05-31,9.18,9.26,6.41,6.48,25218347.0
AMKR,2019-04-30,8.64,9.74,8.64,9.06,15503277.0
AMKR,2019-03-29,8.88,9.11,8.39,8.54,16865983.0
AMKR,2019-02-28,8.02,9.57,7.99,8.78,24738228.0
AMKR,2019-01-31,6.45,8.08,6.29,8.0,19313039.0
AMKR,2018-12-31,7.0,7.13,5.74,6.56,19044942.0
AMKR,2018-11-30,7.17,7.46,6.1,6.85,25096571.0
AMKR,2018-10-31,7.41,7.57,5.72,7.15,35971919.0
AMKR,2018-09-28,8.71,8.72,7.3,7.39,21147118.0
AMKR,2018-08-31,8.61,9.4,8.42,8.73,21498450.0
AMKR,2018-07-31,8.52,9.37,8.4,8.68,19535982.0
AMKR,2018-06-29,9.21,9.47,8.5,8.59,18279089.0
AMKR,2018-05-31,8.25,9.43,8.19,9.1,21795518.0
AMKR,2018-04-30,10.05,10.48,8.26,8.28,22239879.0
AMKR,2018-03-29,10.04,11.68,9.83,10.13,18997276.0
AMKR,2018-02-28,10.0,10.48,8.8,10.05,23815113.0
AMKR,2018-01-31,10.15,11.02,9.98,10.06,16905505.0
AMKR,2017-12-29,10.58,10.69,9.92,10.05,15023525.0
AMKR,2017-11-30,11.62,11.88,10.515,10.57,17331491.0
AMKR,2017-10-31,10.6,11.8,10.32,11.57,21200989.0
AMKR,2017-09-29,8.84,10.63,8.79,10.55,22234101.0
AMKR,2017-08-31,10.15,10.49,8.32,8.78,30583380.0
AMKR,2017-07-31,9.87,11.25,9.61,10.37,20063300.0
AMKR,2017-06-30,11.37,12.35,9.63,9.77,24991107.0
AMKR,2017-05-31,11.83,12.26,10.73,11.34,27306725.0
AMKR,2017-04-28,11.61,12.48,10.81,11.78,28332643.0
AMKR,2017-03-31,9.94,11.64,9.83,11.59,29292215.0
AMKR,2017-02-28,9.51,10.45,9.05,9.82,47326055.0
AMKR,2017-01-31,10.68,10.89,9.33,9.41,28679238.0
AMKR,2016-12-30,11.76,11.86,10.49,10.55,29454356.0
AMKR,2016-11-30,9.88,12.48,9.8,11.82,40578878.0
AMKR,2016-10-31,9.84,10.13,9.015,9.27,17924802.0
AMKR,2016-09-30,9.09,9.835,8.41,9.72,23600979.0
AMKR,2016-08-31,6.28,9.54,6.27,9.1,50690665.0
AMKR,2016-07-29,5.7,6.51,5.505,6.29,14564166.0
AMKR,2016-06-30,6.25,6.5,5.33,5.75,17111583.0
AMKR,2016-05-31,5.7,6.42,5.43,6.31,17732590.0
AMKR,2016-04-29,5.82,6.13,5.27,5.71,19830920.0
AMKR,2016-03-31,5.1,5.91,4.88,5.89,22533143.0
AMKR,2016-02-29,6.11,6.11,4.09,5.06,25386417.0
AMKR,2016-01-29,5.96,6.2,5.15,6.14,19140506.0
AMKR,2015-12-31,6.77,7.05,5.98,6.08,18303898.0
AMKR,2015-11-30,6.23,6.82,6.0,6.8,17169068.0
AMKR,2015-10-30,4.52,6.5,4.35,6.22,32441401.0
AMKR,2015-09-30,5.25,5.62,4.09,4.48,29901605.0
AMKR,2015-08-31,4.42,5.46,4.08,5.4,41508987.0
AMKR,2015-07-31,6.03,6.149,4.01,4.41,39430224.0
AMKR,2015-06-30,6.82,6.89,5.89,5.98,26343081.0
AMKR,2015-05-29,7.07,7.2334,6.565,6.76,26453986.0
AMKR,2015-04-30,8.84,9.08,7.01,7.03,30512846.0
AMKR,2015-03-31,9.76,10.13,8.14,8.835,29853651.0
AMKR,2015-02-27,6.35,9.75,6.26,9.73,32748638.0
AMKR,2015-01-30,7.17,7.225,6.3,6.35,19725109.0
AMKR,2014-12-31,6.63,7.36,6.2,7.1,29923941.0
AMKR,2014-11-28,6.76,7.18,6.16,6.69,28238725.0
AMKR,2014-10-31,8.41,8.69,5.7734,6.78,56857569.0
AMKR,2014-09-30,10.41,10.71,8.4,8.41,28948347.0
AMKR,2014-08-29,8.8,10.47,8.595,10.4,24991700.0
AMKR,2014-07-31,11.19,11.65,8.85,8.85,42364400.0
AMKR,2014-06-30,10.18,12.27,10.05,11.18,67100800.0
AMKR,2014-05-30,7.93,10.2,7.93,10.11,46857200.0
AMKR,2014-04-30,6.92,7.95,6.7,7.95,36742100.0
AMKR,2014-03-31,5.9,6.88,5.81,6.86,23335700.0
AMKR,2014-02-28,5.26,5.97,5.02,5.92,21606400.0
AMKR,2014-01-31,6.13,6.17,5.25,5.3,17937200.0
AMKR,2013-12-31,6.03,6.19,5.43,6.13,19156000.0
AMKR,2013-11-29,5.32,6.04,5.26,6.0,19954200.0
AMKR,2013-10-31,4.28,5.38,4.28,5.305,25351400.0
AMKR,2013-09-30,4.08,4.46,4.03,4.281,20787700.0
AMKR,2013-08-30,4.27,4.31,4.0,4.01,15999400.0
AMKR,2013-07-31,4.25,4.74,4.15,4.22,16625700.0
AMKR,2013-06-28,4.55,4.65,3.91,4.21,17750900.0
AMKR,2013-05-31,4.23,4.72,4.11,4.54,19528600.0
AMKR,2013-04-30,4.01,4.36,3.55,4.235,23510300.0
AMKR,2013-03-28,4.04,4.285,3.91,4.0,17265000.0
AMKR,2013-02-28,4.63,5.0399,4.03,4.06,16646100.0
AMKR,2013-01-31,4.35,4.95,4.33,4.63,14366700.0
AMKR,2012-12-31,4.28,4.42,4.0,4.2408,9857000.0
AMKR,2012-11-30,4.32,4.49,3.65,4.23,12050000.0
AMKR,2012-10-31,4.41,4.6,3.98,4.32,11517900.0
AMKR,2012-09-28,4.67,4.88,4.36,4.415,13482900.0
AMKR,2012-08-31,5.35,5.575,4.55,4.69,23783200.0
AMKR,2012-07-31,4.9,5.43,4.49,5.33,21199500.0
AMKR,2012-06-29,4.61,4.95,4.43,4.88,24247500.0
AMKR,2012-05-31,5.16,5.31,4.29,4.73,37799000.0
AMKR,2012-04-30,6.11,6.25,5.15,5.17,24151300.0
AMKR,2012-03-30,6.45,6.59,6.0,6.145,23200600.0
AMKR,2012-02-29,5.75,6.775,5.74,6.39,40886400.0
AMKR,2012-01-31,4.46,5.8,4.46,5.73,25340600.0
AMKR,2011-12-30,4.41,4.77,4.07,4.36,30493500.0
AMKR,2011-11-30,4.66,5.12,4.06,4.44,34410700.0
AMKR,2011-10-31,4.37,5.165,4.22,4.84,52351100.0
AMKR,2011-09-30,4.37,5.15,3.99,4.36,59591500.0
AMKR,2011-08-31,5.45,5.5,3.813,4.35,72514700.0
AMKR,2011-07-29,6.15,6.59,5.1629,5.335,45214600.0
AMKR,2011-06-30,6.39,6.43,5.64,6.17,34525900.0
AMKR,2011-05-31,6.74,7.0,6.2,6.39,37253900.0
AMKR,2011-04-29,6.82,6.97,6.18,6.7,29772200.0
AMKR,2011-03-31,7.36,7.59,6.3,6.74,38902100.0
AMKR,2011-02-28,8.28,8.49,7.08,7.37,44040300.0
AMKR,2011-01-31,7.46,8.38,7.2,8.14,30821300.0
AMKR,2010-12-31,7.09,7.78,7.0,7.41,28224900.0
AMKR,2010-11-30,7.21,7.44,6.06,6.96,49937100.0
AMKR,2010-10-29,6.66,7.25,6.36,7.23,42393700.0
AMKR,2010-09-30,5.18,6.8,5.13,6.57,49932100.0
AMKR,2010-08-31,5.91,6.31,5.05,5.08,60078600.0
AMKR,2010-07-30,5.49,6.15,5.12,5.77,53248700.0
AMKR,2010-06-30,6.72,6.97,5.45,5.51,63089900.0
AMKR,2010-05-28,7.64,7.78,6.01,6.81,71226400.0
AMKR,2010-04-30,7.14,8.81,6.86,7.54,71878700.0
AMKR,2010-03-31,6.05,7.24,6.02,7.08,50019600.0
AMKR,2010-02-26,5.72,6.48,5.47,6.02,55615600.0
AMKR,2010-01-29,7.24,7.55,5.51,5.69,51406900.0
AMKR,2009-12-31,5.6,7.5,5.55,7.16,60235400.0
AMKR,2009-11-30,5.51,6.39,5.33,5.55,39802300.0
AMKR,2009-10-30,6.86,7.7,5.38,5.51,64117200.0
AMKR,2009-09-30,5.48,7.57,5.45,6.88,60153400.0
AMKR,2009-08-31,6.34,6.64,5.32,5.54,65484300.0
